"Lake Partner Program Calcium (Ca) Concentration Data, 2008-2016",,,,,,,,
,,,,,Latitude,Longitude,,Ca
Lake Name,Township,STN,Site ID,Site Description,(DMS),(DMS),Date,(mg/L)
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,12-Jul-12,20.2
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,16-Aug-12,19.5
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,30-Jun-13,14.9
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,01-Aug-13,15.4
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,07-Jun-14,2.2
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,22-Jul-14,18.3
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,06-Jun-15,17.9
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,09-Jul-15,19.2
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,24-May-16,16.1
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,26-Jun-16,15.4
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,26-Jul-16,16.8
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,18-Sep-08,8.4
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,24-May-09,9.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,24-May-10,17.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,06-Jun-10,13.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,04-Jul-10,13.1
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,04-Jul-11,8.6
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,19-Jul-11,8.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,02-Aug-11,7.7
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,10-Oct-11,6.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,29-Jun-12,11.3
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,03-Jul-12,10.0
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,22-Aug-12,7.3
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,16-May-13,8.0
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,09-Jun-13,7.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,24-Jul-13,7.0
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,08-Aug-13,8.9
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,26-May-14,9.1
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,30-Jun-14,10.2
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,28-Jul-14,11.7
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,23-May-15,15.0
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,30-Jun-15,10.1
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,28-May-16,8.3
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,27-Jun-16,8.6
BALSAM LAKE,BEXLEY,6902,5,NE end-Lightning Pt,443748,784843,27-Jun-16,8.6
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,29-Oct-08,19.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,22-May-09,19.2
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,15-May-10,20.4
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,31-May-10,19.2
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,02-Jul-10,11.9
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,26-May-11,20.9
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,01-Jun-11,20.3
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,05-Jul-11,18.8
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,06-Sep-11,15.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,30-Sep-11,16.0
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,05-Jun-12,21.2
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,03-Jul-12,19.9
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,01-Aug-12,19.6
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,18-May-13,21.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,12-Jun-13,18.6
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,28-Jun-13,17.3
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,08-Aug-13,15.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,07-Jun-14,20.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,03-Jul-14,16.8
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,31-May-15,18.9
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,01-Jul-15,20.0
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,23-May-16,18.5
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,01-Jun-16,18.4
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,27-Jun-16,17.0
BALSAM LAKE,BEXLEY,6902,7,South B-Killarney B,443106,785130,27-Jun-16,17.0
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,18-Sep-08,19.7
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,30-May-09,20.8
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,18-May-10,18.7
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,31-May-10,19.6
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,04-Jul-10,21.2
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,08-May-11,19.8
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,26-Jun-11,19.2
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,04-Jul-11,18.7
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,31-Jul-11,18.4
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,09-Sep-11,16.4
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,03-Oct-11,16.0
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,13-May-12,20.8
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,03-Jun-12,22.1
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,03-Jul-12,20.9
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,07-Aug-12,19.6
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,15-Jun-13,16.2
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,02-Jul-13,16.1
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,08-Jun-14,20.2
BALSAM LAKE,BEXLEY,6902,8,"W Bay2, deep spot",443330,785310,02-Jul-14,18.4
