Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1153190,15-Mar-11,M5R,2.00
1153197,15-Mar-11,M6N,4.00
1153198,14-Mar-11,M4J,7.00
1153204,16-Mar-11,M6J,0.700
1153320,28-Mar-11,M6J,9270
1153339,23-Mar-11,M6J,5.00
1153360,22-Mar-11,M4M,3.00
1153361,22-Mar-11,M6H,2.00
1153384,22-Mar-11,M5S,4.00
1153386,16-Mar-11,M5T,11500
1153391,18-Mar-11,M6H,3.00
1153399,21-Mar-11,M4S,<0.500
1153422,22-Mar-11,M4S,5.00
1154863,23-Mar-11,M6H,2.00
1154864,24-Mar-11,M6N,1.00
1154865,24-Mar-11,M6S,<0.500
1154867,24-Mar-11,M6P,2.00
1154868,25-Mar-11,M6H,1.00
1154869,25-Mar-11,M6P,1.00
1154870,27-Mar-11,M6K,3.00
1154871,28-Mar-11,M6P,<0.500
1154872,28-Mar-11,M6G,5.00
1154873,28-Mar-11,M4K,3.00
1154874,29-Mar-11,M9B,2.00
1154881,30-Mar-11,M4G,7.00
1154907,31-Mar-11,M4G,7.00
1154923,31-Mar-11,M6J,2.00
1154924,31-Mar-11,M4G,8.00
1155147,26-Mar-11,M6G,4.00
1155152,30-Mar-11,M6H,3.00
1155726,20-Mar-11,M4L,23.0
1157538,25-Mar-11,M4E,2.00
1157539,31-Mar-11,M4L,2.00
1157553,01-Apr-11,M4J,38.0
1157561,01-Apr-11,M4K,2.00
1157562,03-Apr-11,M6G,5.00
1157563,04-Apr-11,M4M,0.600
1157564,05-Apr-11,M4J,<0.500
1157565,05-Apr-11,M4E,2.00
1157566,06-Apr-11,M4L,10.0
1159352,16-Feb-11,M6H,2060
1159372,30-Mar-11,M8V,<0.500
1159373,01-Apr-11,M6P,<0.500
1159381,13-Apr-11,M6H,0.800
1159388,03-Apr-11,M8Z,6.00
1159391,03-Apr-11,M6H,4.00
1159405,03-Apr-11,M5S,<0.500
1159409,04-Apr-11,M6E,14.0
1159413,04-Apr-11,M5R,14.0
1159414,04-Apr-11,M6K,3310
1159456,04-Apr-11,M8Y,<0.500
1159600,04-Apr-11,M6P,<0.500
1159606,05-Apr-11,M5R,21.0
1159611,05-Apr-11,M3K,<0.500
1159623,06-Apr-11,M6G,4.00
1159640,07-Apr-11,M6C,3.00
1159654,07-Apr-11,M6K,28.0
1159662,07-Apr-11,M6P,3.00
1159669,07-Apr-11,M6N,<0.500
1159671,08-Apr-11,M6G,15.0
1159677,08-Apr-11,M6R,3.00
1159678,08-Apr-11,M6C,7.00
1159678,08-Apr-11,M6C,7.00
1159679,11-Apr-11,M6S,1.00
1159679,11-Apr-11,M6S,1.00
